Degree,Value,Timestamp
342.000,3.098000,1775239421.211
343.001,3.095000,1775239422.059
344.002,3.095000,1775239422.922
344.998,3.099000,1775239423.786
345.999,3.102000,1775239424.633
347.001,3.103000,1775239425.481
348.002,3.102000,1775239426.328
348.997,3.102000,1775239427.176
349.999,3.102000,1775239428.023
351.000,3.102000,1775239428.871
352.001,3.104000,1775239429.734
353.002,3.105000,1775239430.582
353.998,3.103000,1775239431.429
354.999,3.098000,1775239432.293
356.001,3.097000,1775239433.156
357.002,3.100000,1775239434.020
357.997,3.104000,1775239434.883
358.999,3.105000,1775239435.730
